Feature,Pretty,Coefficient,Abs_Coefficient
cat__wellness_program_cleaned_1,wellness_program_cleaned = 1,-1.5976662948384113,1.5976662948384113
cat__wellness_program_cleaned_3,wellness_program_cleaned = 3,-1.5461652485404151,1.5461652485404151
cat__benefits_cleaned_1,benefits_cleaned = 1,-1.09811634267205,1.09811634267205
cat__mental_vs_physical_cleaned_1,mental_vs_physical_cleaned = 1,-0.8128535063359054,0.8128535063359054
cat__coworkers_cleaned_1,coworkers_cleaned = 1,0.718655816801631,0.718655816801631
cat__benefits_cleaned_3,benefits_cleaned = 3,-0.7090105239195471,0.7090105239195471
cat__care_options_cleaned_3,care_options_cleaned = 3,-0.660195923816548,0.660195923816548
cat__mental_health_consequence_cleaned_3,mental_health_consequence_cleaned = 3,0.5194168973357799,0.5194168973357799
cat__mental_health_consequence_cleaned_1,mental_health_consequence_cleaned = 1,0.5173159400034101,0.5173159400034101
cat__work_interfere_cleaned_3.0,work_interfere_cleaned = 3.0,0.516030263742879,0.516030263742879
cat__phys_health_interview_cleaned_1,phys_health_interview_cleaned = 1,0.4196500546737049,0.4196500546737049
cat__care_options_cleaned_1,care_options_cleaned = 1,-0.4180311182013484,0.4180311182013484
cat__anonymity_cleaned_3,anonymity_cleaned = 3,-0.3836101048714262,0.3836101048714262
cat__leave_cleaned_5,leave_cleaned = 5,0.3408885703006309,0.3408885703006309
cat__mental_vs_physical_cleaned_3,mental_vs_physical_cleaned = 3,-0.32507628939561356,0.32507628939561356
