Feature,Pretty,Importance
cat__wellness_program_cleaned_1,wellness_program_cleaned = 1,0.10865866738248506
remainder__Age,Age,0.07171658177823291
cat__benefits_cleaned_1,benefits_cleaned = 1,0.06738081665103665
remainder__Employees_estimate,Employees_estimate,0.0621883086480851
cat__benefits_cleaned_3,benefits_cleaned = 3,0.06038569675022175
cat__wellness_program_cleaned_3,wellness_program_cleaned = 3,0.05710659971085954
cat__care_options_cleaned_1,care_options_cleaned = 1,0.047435384567638766
cat__anonymity_cleaned_1,anonymity_cleaned = 1,0.03651698005747459
cat__anonymity_cleaned_3,anonymity_cleaned = 3,0.03551894436721442
cat__care_options_cleaned_3,care_options_cleaned = 3,0.03360880794144659
cat__leave_cleaned_3,leave_cleaned = 3,0.026207858843344808
cat__mental_vs_physical_cleaned_1,mental_vs_physical_cleaned = 1,0.0249563193586983
cat__mental_vs_physical_cleaned_3,mental_vs_physical_cleaned = 3,0.02151945271607718
cat__supervisor_cleaned_1,supervisor_cleaned = 1,0.021138027028245486
cat__phys_health_interview_cleaned_3,phys_health_interview_cleaned = 3,0.020427665588668008
