Feature,Pretty,Importance,Group
cat__wellness_program_cleaned_1,wellness_program_cleaned = 1,0.10865866738248506,Top
remainder__Age,Age,0.07171658177823291,Top
cat__benefits_cleaned_1,benefits_cleaned = 1,0.06738081665103665,Top
remainder__Employees_estimate,Employees_estimate,0.0621883086480851,Top
cat__benefits_cleaned_3,benefits_cleaned = 3,0.06038569675022175,Top
cat__wellness_program_cleaned_3,wellness_program_cleaned = 3,0.05710659971085954,Top
cat__care_options_cleaned_1,care_options_cleaned = 1,0.047435384567638766,Top
cat__anonymity_cleaned_1,anonymity_cleaned = 1,0.03651698005747459,Top
cat__anonymity_cleaned_3,anonymity_cleaned = 3,0.03551894436721442,Top
cat__care_options_cleaned_3,care_options_cleaned = 3,0.03360880794144659,Top
cat__leave_cleaned_3,leave_cleaned = 3,0.026207858843344808,Top
cat__mental_vs_physical_cleaned_1,mental_vs_physical_cleaned = 1,0.0249563193586983,Top
cat__mental_vs_physical_cleaned_3,mental_vs_physical_cleaned = 3,0.02151945271607718,Top
cat__supervisor_cleaned_1,supervisor_cleaned = 1,0.021138027028245486,Top
cat__phys_health_interview_cleaned_3,phys_health_interview_cleaned = 3,0.020427665588668008,Top
cat__mental_health_interview_cleaned_1,mental_health_interview_cleaned = 1,0.0041134463060694265,Bottom
cat__phys_health_consequence_cleaned_1,phys_health_consequence_cleaned = 1,0.005111281479653267,Bottom
cat__leave_cleaned_5,leave_cleaned = 5,0.005705884934626918,Bottom
cat__self_employed_cleaned_1.0,self_employed_cleaned = 1.0,0.007223928865413049,Bottom
cat__leave_cleaned_4,leave_cleaned = 4,0.008718699416936558,Bottom
cat__obs_consequence_cleaned_1,obs_consequence_cleaned = 1,0.009799133803184711,Bottom
cat__work_interfere_cleaned_3.0,work_interfere_cleaned = 3.0,0.012023101782341896,Bottom
cat__coworkers_cleaned_1,coworkers_cleaned = 1,0.012264960405358396,Bottom
cat__phys_health_interview_cleaned_1,phys_health_interview_cleaned = 1,0.012581237570334032,Bottom
cat__mental_health_consequence_cleaned_1,mental_health_consequence_cleaned = 1,0.013397296421803193,Bottom
cat__work_interfere_cleaned_4.0,work_interfere_cleaned = 4.0,0.013533477310055457,Bottom
cat__phys_health_consequence_cleaned_3,phys_health_consequence_cleaned = 3,0.013656176120699779,Bottom
cat__mental_health_interview_cleaned_3,mental_health_interview_cleaned = 3,0.013805227624525367,Bottom
cat__tech_company_cleaned_1,tech_company_cleaned = 1,0.014057939219776773,Bottom
cat__work_interfere_cleaned_1.0,work_interfere_cleaned = 1.0,0.014212093734996717,Bottom
